1300607;"Benjamin Constant";"AM";"-437.768";"-70.034.157"
1300631;"Beruri";"AM";"-3.898.736";"-6.136.162"
1300680;"Boa Vista do Ramos";"AM";"-2.974.087";"-57.587.333"
1300706;"Boca do Acre";"AM";"-8.742.322";"-67.391.926"
1300805;"Borba";"AM";"-4.391.539";"-5.958.738"
1300839;"Caapiranga";"AM";"-3.315.372";"-61.220.557"
1300904;"Canutama";"AM";"-652.582";"-6.439.528"
1301001;"Carauari";"AM";"-4.881.605";"-66.908.559"
1301100;"Careiro";"AM";"-3.768.027";"-60.369.046"
1301159;"Careiro da Várzea";"AM";"-3.196.979";"-5.979.639"
1301209;"Coari";"AM";"-4.094.121";"-63.144.091"
1301308;"Codajás";"AM";"-3.830.528";"-62.065.787"
1301407;"Eirunepé";"AM";"-6.656.767";"-6.986.616"
1301506;"Envira";"AM";"-7.437.889";"-70.028.143"
1301605;"Fonte Boa";"AM";"-2.523.424";"-66.094.212"
1301654;"Guajará";"AM";"-7.537.971";"-72.590.713"
1301704;"Humaitá";"AM";"-7.511.712";"-63.032.743"
1301803;"Ipixuna";"AM";"-7.047.909";"-71.693.426"
1301852;"Iranduba";"AM";"-3.274.792";"-60.189.953"
1301902;"Itacoatiara";"AM";"-3.138.607";"-58.444.874"
1301951;"Itamarati";"AM";"-6.424.591";"-68.260.027"
1302009;"Itapiranga";"AM";"-274.081";"-58.029.257"
1302108;"Japurá";"AM";"-1.882.366";"-66.929.051"
1302207;"Juruá";"AM";"-3.484.384";"-66.071.795"
1302306;"Jutaí";"AM";"-2.758.144";"-6.675.947"
1302405;"Lábrea";"AM";"-7.264.133";"-64.794.765"
1302504;"Manacapuru";"AM";"-3.290.657";"-60.621.581"
1302553;"Manaquiri";"AM";"-3.440.784";"-60.461.239"
1302603;"Manaus";"AM";"-3.118.662";"-6.002.123"
1302702;"Manicoré";"AM";"-5.804.618";"-61.289.483"
1302801;"Maraã";"AM";"-1.853.129";"-65.572.995"
1302900;"Maués";"AM";"-3.392.891";"-57.706.731"
1303007;"Nhamundá";"AM";"-2.207.932";"-56.711.151"
1303106;"Nova Olinda do Norte";"AM";"-3.900.367";"-5.909.404"
1303205;"Novo Airão";"AM";"-2.636.371";"-60.943.404"
1303304;"Novo Aripuanã";"AM";"-5.125.929";"-60.373.179"
1303403;"Parintins";"AM";"-2.637.412";"-56.729.045"
1303502;"Pauini";"AM";"-7.713.109";"-66.992.039"
1303536;"Presidente Figueiredo";"AM";"-2.029.813";"-6.002.338"
1303569;"Rio Preto da Eva";"AM";"-2.704.497";"-59.685.793"
1303601;"Santa Isabel do Rio Negro";"AM";"-0.410824";"-65.009.205"
1303700;"Santo Antônio do Içá";"AM";"-3.095.443";"-67.946.279"
1303809;"São Gabriel da Cachoeira";"AM";"-0.11909";"-67.084.042"
1303908;"São Paulo de Olivença";"AM";"-3.472.919";"-68.964.581"
1303957;"São Sebastião do Uatumã";"AM";"-2.559.147";"-57.873.049"
1304005;"Silves";"AM";"-281.748";"-58.248.031"
1304062;"Tabatinga";"AM";"-4.241.597";"-69.938.273"
1304104;"Tapauá";"AM";"-5.620.855";"-631.808"
1304203;"Tefé";"AM";"-3.368.219";"-64.719.343"
1304237;"Tonantins";"AM";"-2.865.825";"-67.791.904"
1304260;"Uarini";"AM";"-2.996.087";"-65.113.298"
1304302;"Urucará";"AM";"-2.529.364";"-57.753.797"
1304401;"Urucurituba";"AM";"-3.128.412";"-58.149.637"
1400027;"Amajari";"RR";"3.645.714";"-61.369.245"
1400050;"Alto Alegre";"RR";"298.858";"-61.307.167"
1400100;"Boa Vista";"RR";"2.823.842";"-60.675.328"
1400159;"Bonfim";"RR";"3.361.614";"-598.333"
1400175;"Cantá";"RR";"260.994";"-60.605.827"
1400209;"Caracaraí";"RR";"1.827.659";"-61.130.378"
1400233;"Caroebe";"RR";"0.884203";"-59.695.886"
1400282;"Iracema";"RR";"2.183.046";"-61.041.546"
1400308;"Mucajaí";"RR";"2.439.982";"-60.909.619"
1400407;"Normandia";"RR";"3.885.305";"-59.620.402"
1400456;"Pacaraima";"RR";"4.479.895";"-61.147.695"
1400472;"Rorainópolis";"RR";"0.939956";"-60.438.923"
1400506;"São João da Baliza";"RR";"0.951659";"-59.913.293"
1400605;"São Luiz";"RR";"1.010.193";"-60.041.894"
1400704;"Uiramutã";"RR";"4.603.144";"-60.181.464"
1500107;"Abaetetuba";"PA";"-1.721.828";"-48.878.843"
1500131;"Abel Figueiredo";"PA";"-4.953.327";"-48.393.285"
1500206;"Acará";"PA";"-1.953.833";"-48.198.513"
1500305;"Afuá";"PA";"-0.154874";"-5.038.613"
1500347;"Água Azul do Norte";"PA";"-6.790.534";"-50.479.068"
1500404;"Alenquer";"PA";"-1.946.229";"-54.738.355"
1500503;"Almeirim";"PA";"-1.520.968";"-52.581.573"
1500602;"Altamira";"PA";"-3.204.065";"-52.209.961"
1500701;"Anajás";"PA";"-0.996811";"-499.354"
1500800;"Ananindeua";"PA";"-1.363.914";"-48.374.298"
1500859;"Anapu";"PA";"-3.469.847";"-51.200.264"
1500909;"Augusto Corrêa";"PA";"-1.021.634";"-46.645.551"
1500958;"Aurora do Pará";"PA";"-2.148.976";"-47.567.712"
1501006;"Aveiro";"PA";"-3.608.415";"-5.531.994"
1501105;"Bagre";"PA";"-1.900.565";"-5.019.869"
1501204;"Baião";"PA";"-2.790.212";"-49.669.443"
1501253;"Bannach";"PA";"-7.347.786";"-50.395.853"
1501303;"Barcarena";"PA";"-1.511.872";"-48.619.529"
1501402;"Belém";"PA";"-1.455.396";"-48.489.756"
1501451;"Belterra";"PA";"-2.636.091";"-54.937.392"
1501501;"Benevides";"PA";"-1.361.829";"-48.243.408"
1501576;"Bom Jesus do Tocantins";"PA";"-5.042.402";"-48.604.701"
1501600;"Bonito";"PA";"-1.367.451";"-47.306.572"
1501709;"Bragança";"PA";"-1.061.263";"-467.826"
1501725;"Brasil Novo";"PA";"-3.297.922";"-52.534.021"
1501758;"Brejo Grande do Araguaia";"PA";"-5.698.216";"-4.841.025"
1501782;"Breu Branco";"PA";"-3.771.908";"-49.573.459"
1501808;"Breves";"PA";"-168.036";"-50.479.085"
1501907;"Bujaru";"PA";"-1.517.616";"-48.038.063"
1501956;"Cachoeira do Piriá";"PA";"-1.759.738";"-4.654.593"
1502004;"Cachoeira do Arari";"PA";"-1.012.259";"-4.895.029"
1502103;"Cametá";"PA";"-2.242.949";"-49.497.885"
1502152;"Canaã dos Carajás";"PA";"-6.496.594";"-49.877.612"
1502202;"Capanema";"PA";"-1.205.291";"-47.177.778"
1502301;"Capitão Poço";"PA";"-1.747.847";"-4.706.293"
1502400;"Castanhal";"PA";"-1.297.971";"-47.916.742"
1502509;"Chaves";"PA";"-0.164154";"-49.987.006"
1502608;"Colares";"PA";"-0.936423";"-48.280.254"
1502707;"Conceição do Araguaia";"PA";"-8.261.356";"-49.268.913"
1502756;"Concórdia do Pará";"PA";"-1.992.375";"-47.942.204"
1502764;"Cumaru do Norte";"PA";"-7.810.968";"-50.769.772"
1502772;"Curionópolis";"PA";"-6.099.654";"-49.606.795"
1502806;"Curralinho";"PA";"-1.811.793";"-49.795.227"
1502855;"Curuá";"PA";"-1.887.754";"-55.116.842"
1502905;"Curuçá";"PA";"-0.733214";"-4.785.148"
1502939;"Dom Eliseu";"PA";"-4.283.786";"-47.505.688"
1502954;"Eldorado dos Carajás";"PA";"-6.103.891";"-49.355.261"
1503002;"Faro";"PA";"-2.168.047";"-56.740.498"
1503044;"Floresta do Araguaia";"PA";"-7.553.346";"-49.712.495"
1503077;"Garrafão do Norte";"PA";"-1.929.858";"-47.050.499"
1503093;"Goianésia do Pará";"PA";"-3.843.384";"-49.097.385"
1503101;"Gurupá";"PA";"-1.414.123";"-51.633.841"
1503200;"Igarapé-Açu";"PA";"-1.136.139";"-47.617.409"
1503309;"Igarapé-Miri";"PA";"-1.975.326";"-48.957.453"
1503408;"Inhangapi";"PA";"-1.434.897";"-47.911.393"
1503457;"Ipixuna do Pará";"PA";"-2.559.921";"-47.505.911"
1503507;"Irituia";"PA";"-1.769.842";"-47.445.997"
1503606;"Itaituba";"PA";"-4.266.696";"-5.599.264"
1503705;"Itupiranga";"PA";"-5.132.716";"-49.335.849"
1503754;"Jacareacanga";"PA";"-621.469";"-57.754.352"
1503804;"Jacundá";"PA";"-4.446.173";"-49.115.272"
1503903;"Juruti";"PA";"-2.163.472";"-56.088.903"
1504000;"Limoeiro do Ajuru";"PA";"-1.898.498";"-49.390.308"
1504059;"Mãe do Rio";"PA";"-2.056.833";"-47.560.144"
1504109;"Magalhães Barata";"PA";"-0.803391";"-47.601.445"
1504208;"Marabá";"PA";"-538.075";"-49.132.672"
1504307;"Maracanã";"PA";"-0.778899";"-47.451.983"
1504406;"Marapanim";"PA";"-0.714702";"-4.770.336"
1504422;"Marituba";"PA";"-136.002";"-48.342.064"
1504455;"Medicilândia";"PA";"-3.446.375";"-5.288.748"
1504505;"Melgaço";"PA";"-1.803.202";"-50.714.927"
1504604;"Mocajuba";"PA";"-2.583.098";"-49.504.224"
1504703;"Moju";"PA";"-1.889.926";"-48.766.765"
1504802;"Monte Alegre";"PA";"-1.997.679";"-54.072.386"
1504901;"Muaná";"PA";"-1.539.359";"-49.222.378"
1504950;"Nova Esperança do Piriá";"PA";"-2.266.925";"-4.697.315"
1504976;"Nova Ipixuna";"PA";"-4.916.221";"-49.082.194"
1505007;"Nova Timboteua";"PA";"-120.874";"-47.392.062"
1505031;"Novo Progresso";"PA";"-7.143.465";"-55.378.591"
1505064;"Novo Repartimento";"PA";"-4.247.492";"-49.949.928"
1505106;"Óbidos";"PA";"-1.901.072";"-55.520.812"
1505205;"Oeiras do Pará";"PA";"-2.003.576";"-49.862.792"
1505304;"Oriximiná";"PA";"-1.759.888";"-55.857.937"
1505403;"Ourém";"PA";"-1.541.676";"-47.112.649"
1505437;"Ourilândia do Norte";"PA";"-6.752.905";"-51.085.792"
1505486;"Pacajá";"PA";"-3.837.314";"-50.638.625"
1505494;"Palestina do Pará";"PA";"-5.740.269";"-48.318.076"
1505502;"Paragominas";"PA";"-3.002.116";"-47.352.692"
1505536;"Parauapebas";"PA";"-6.067.812";"-49.903.733"
1505551;"Pau D Arco";"PA";"";""
1505601;"Peixe-Boi";"PA";"-1.193.824";"-47.324.031"
1505635;"Piçarra";"PA";"-6.437.783";"-48.871.633"
1505650;"Placas";"PA";"-3.868.131";"-54.212.371"
1505700;"Ponta de Pedras";"PA";"-1.395.873";"-48.866.073"
1505809;"Portel";"PA";"-1.936.388";"-5.081.942"
1505908;"Porto de Moz";"PA";"-1.746.906";"-52.236.071"
1506005;"Prainha";"PA";"-1.797.999";"-53.477.903"
1506104;"Primavera";"PA";"-0.945439";"-4.712.527"
1506112;"Quatipuru";"PA";"-0.899604";"-47.013.434"
1506138;"Redenção";"PA";"-8.025.294";"-50.031.687"
1506161;"Rio Maria";"PA";"-7.312.358";"-50.037.875"
1506187;"Rondon do Pará";"PA";"-4.777.927";"-48.066.966"
1506195;"Rurópolis";"PA";"-4.100.279";"-54.909.167"
1506203;"Salinópolis";"PA";"-0.630815";"-47.346.523"
1506302;"Salvaterra";"PA";"-0.758444";"-48.513.921"
1506351;"Santa Bárbara do Pará";"PA";"-1.226.144";"-48.295.101"
1506401;"Santa Cruz do Arari";"PA";"-0.661019";"-49.177.139"
1506500;"Santa Isabel do Pará";"PA";"-1.297.847";"-48.156.622"
1506559;"Santa Luzia do Pará";"PA";"-152.147";"-46.900.829"
1506583;"Santa Maria das Barreiras";"PA";"-8.857.838";"-49.721.472"
1506609;"Santa Maria do Pará";"PA";"-1.353.918";"-47.571.166"
1506708;"Santana do Araguaia";"PA";"-9.328.099";"-50.350.036"
1506807;"Santarém";"PA";"-2.438.489";"-54.699.611"
1506906;"Santarém Novo";"PA";"-0.93097";"-47.385.457"
1507003;"Santo Antônio do Tauá";"PA";"-11.522";"-48.131.446"
1507102;"São Caetano de Odivelas";"PA";"-0.747293";"-48.024.622"
1507151;"São Domingos do Araguaia";"PA";"-5.537.324";"-48.736.649"
1507201;"São Domingos do Capim";"PA";"-1.687.684";"-4.776.646"
1507300;"São Félix do Xingu";"PA";"-6.642.535";"-51.990.382"
1507409;"São Francisco do Pará";"PA";"-1.169.632";"-47.791.676"
1507458;"São Geraldo do Araguaia";"PA";"-6.394.715";"-48.559.169"
1507466;"São João da Ponta";"PA";"-0.857885";"-47.918.022"
1507474;"São João de Pirabas";"PA";"-0.780222";"-47.181.036"
1507508;"São João do Araguaia";"PA";"-5.363.336";"-48.792.637"
1507607;"São Miguel do Guamá";"PA";"-1.613.072";"-47.478.382"
1507706;"São Sebastião da Boa Vista";"PA";"-1.715.972";"-49.524.893"
1507755;"Sapucaia";"PA";"-6.940.181";"-49.683.408"
1507805;"Senador José Porfírio";"PA";"-2.585.981";"-51.948.701"
